NER_DATA,TAG
ಫ್ರೆಂಡ್ಸ್,O
ದ,O
8ನೇ,B-NUM
ವರ್ಷದ,I-NUM
ಉಚ್ಚಯದ,O
ಲೆಕ್ಕೊಡು,O
ಜ.6,B-NUM
ಸನಿಯಾರ,O
ಕರಂಬಾರು,B-LOC
ಶ್ರೀ,B-ORG
ಮಾರಿಯಮ್ಮ,I-ORG
ಕೋಟೆ,I-ORG
ಬಬ್ಬುಸ್ವಾಮಿ,I-ORG
ದೈವೊಲ್ಯದ,O
ಚಾವಡಿಡ್,O
ಸಾಂಸ್ಕೃತಿಕ,O
ಬೊಕ್ಕ,O
ಸಭಾ,O
ಲೇಸ್,B-FUN
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಡ್,O
ಮಾತೆರ್ಲಾ,O
ಪಾಲ್,O
ಪಡೆದ್,O
ಲೇಸ್,B-FUN
ನ್,O
ಪೊರ್ಲು,O
ಮಲ್ತ್,O
ದ್,O
ಕೊರೊಡು,O
ಪಂದ್,O
ಕರಂಬಾರು,B-LOC
ತುಳುವೆರೆ,O
ತುಡರ್,O
ಫ್ರೆಂಡ್ಸ್,O
ದ,O
ಗುರ್ಕಾರೆ,B-ROL
ಸುಧೀರ್,B-PER
ಪೂಜಾರಿ,I-PER
ಲೆಪ್ಪೋಲೆಡ್,O
ತೆರಿಪಾದೆರ್.,O
*,O
49,B-NUM
ಶಿಬರಾಜೆ,B-LOC
ಜೇಸಿಐ,O
ಕೊಕ್ಕಡ,O
ಕಪಿಲಾ,O
ಘಟಕದ,O
ಪೊಸ,O
ಗುರ್ಕಾರೆ,B-ROL
ಬೊಕ್ಕ,O
ಪದುಕೆರೆನ,O
4ನೇ,B-NUM
ವರ್ಷದ,O
ಪದಗ್ರಹಣ,O
ಲೇಸ್,B-FUN
ಜ.1,B-NUM
ಕ್ಕ್,O
ಗ್ರಾಮಾಭ್ಯುದಯ,O
ಕಾರ್ಯಕ್ರಮ,B-FUN
ಅನುಷ್ಠಾನ,O
ಸಮಿತಿ,O
ಶಿಬರಾಜೆ,O
ಪಾದೆ,O
ವಠಾರಡ್,O
ನಡತ್ಂಡ್.,O
*,O
ಲೇಸ್,B-FUN
ಡ್,O
ಸಭೆತ್ತ,O
ಗುರ್ಕಾರ್ಮೆನ್,B-ROL
ಜಿತೇಶ್,B-PER
ಎಲ್,O
ಪಿರೇರಾ,B-PER
ಒಯಿಸ್,O
ದಿತ್ತೆರ್.,O
*,O
ಮಲ್ಲ,O
ಬಿನ್ನೆರಾದ್,O
ಗುರು,O
ಯಂ.ಪಿ,B-POL
ಜೆ.ಎಫ್.ಎಂ,O
ಶಂಕರ್,B-PER
ರಾವ್,I-PER
ಜೇಸಿ,B-PER
ಶ್ರೀಧರ್,I-PER
ರಾವ್,I-PER
ಜೇಸಿ,I-PER
ವಿಕ್ಟರ್,I-PER
ಸುವಾರಿಸ್,O
ಜೇಸಿ,O
ದೀಪ,O
ಜೆಜೆಸಿ,O
ಪ್ರತೀಕ್ಷಾ,O
ಕೆ,O
Read,O
more…50,O
ಪಕ್ಷಿಕೆರೆ,B-LOC
ಅಯೋಧ್ಯೆ,I-LOC
ಶ್ರೀ,B-ORG
ರಾಮ,I-ORG
ಮಂದಿರ,I-ORG
ನಿರ್ಮಾಣದ,O
ಟ್ರಸ್ಟಿಲು,O
ನೀಲಾವರ,B-ORG
ಗೋಶಾಲೆದ,I-ORG
ಸ್ಥಾಪಕೆರ್,I-ORG
ನಿರಂತರ,O
ಸಮಾಜದ,O
ಸಂಘಟನೆ,O
ಏಳ್ಗೆಗ್,O
ಬೇಲೆ,O
ಮಲ್ಪುನ,O
ಪೇಜಾವರ,O
ಮಠಾಧೀಶೆರಾಯಿನ,O
ಶ್ರೀ,O
ವಿಶ್ವಪ್ರಸನ್ನ,O
ತೀರ್ಥ,O
ಶ್ರೀ,O
ಸ್ವಾಮೀಜಿಗ್,O
60,B-NUM
ಸಂವತ್ಸರ,O
ಆಯಿನ,O
ಲೆಕ್ಕೊಡು,O
ಅಂಗಾರೆ,O
ಆರೆನ,O
ಪುಟ್ಟಿನ,O
ಊರು,O
ಪಕ್ಷಿಕೆರೆತ್ತ,B-LOC
ಚಂದ್ರಗಿರಿ,I-LOC
ಇಲ್ಲಲ್,O
ಸಾರ್ವಜನಿಕೆರ್,O
ಅಭಿಮಾನಿಲು,O
ಭಕ್ತೆರ್,O
ಸೇರ್ದ್,O
ಮಾನಾದಿಗೆ,O
ಮಲ್ತೆರ್.,O
*,O
ಮಾನಾದಿಗೆ,O
ಸ್ವೀಕಾರ,O
ಮಲ್ತಿನ,O
ಪೇಜಾವರ,B-PER
ಶ್ರೀ,I-PER
ಪಾತೆರ್ದ್,O
ಗ್ರಾಮೀಣ,O
ಪ್ರದೇಶಡ್,O
ಪುಟುದು,O
Read,O
more…51,O
ಸುಬ್ರಹ್ಮಣ್ಯ,B-PER
ಕುಕ್ಕೆ,B-ORG
ಶ್ರೀ,I-ORG
ಸುಬ್ರಹ್ಮಣ್ಯ,I-ORG
ದೇವಲ್ಯದ,O
ಆನೆ,O
ಮಾವುತೆರ್,O
ಶ್ರೀನಿವಾಸ,B-PER
ಗೌಡ,I-PER
ಮೆರೆಗ್,O
ಡಾ|,B-PER
ರವಿ,I-PER
ಕಕ್ಕೆಪದವು,I-PER
ಸಮಾಜ,O
ಸೇವಾ,O
ಟ್ರಸ್ಟ್,B-ORG
ಬೊಕ್ಕ,O
ಅಖಿಲ,B-ORG
ಭಾರತ,I-ORG
ಅಯ್ಯಪ್ಪ,I-ORG
ಸೇವಾ,I-ORG
ಸಮಿತಿದ,I-ORG
ಒಟ್ಟುಸೇರಿಗೆಡ್,O
ಮಾನಾದಿಗೆ,O
ನಡತ್ಂಡ್.,O
*,O
ಆನೆ,O
ಮಾವುತೆ,O
ಶ್ರೀನಿವಾಸ,B-PER
ಗೌಡ್ರೆನ,I-PER
ಪುಟ್ಟಿನ,O
ಊರು,O
ಎಲ್ಯರ್ದೆ,O
ಬುಲೆಯಿನ,O
ರೀತಿ,O
ತನ್ನ,O
ಅಜ್ಜೆರ್ನ,B-FAM
ಕಾಲರ್ದ್,O
ವಂಶ,O
ಪರಂಪರೆಯಾದ್,O
ಆನೆ,O
ಮಾವುತೆರಾದ್,O
ಸೇವೆ,O
ಸಂದಾಯಿನ,O
ಬಗೆಟ್ಟ್,O
ಅಂಚೆನೆ,O
ಉಜಿರೆದ,B-LOC
ಕೃಷ್ಣ,B-PER
ಆನೆದ,O
ಮಾವುತೆರಾದ್,O
ಸಂದಾಯಿನ,O
Read,O
more…52,O
ಉಳ್ಳಾಲ,B-LOC
ಶ್ರೀ,I-LOC
ಉಳ್ಳಾಲ್ತಿ,B-LOC
ಧರ್ಮರಸು,I-LOC
ಕ್ಷೇತ್ರದ,B-ORG
ಪುನರ್,B-FUN
ಪ್ರತಿಷ್ಠಾ,I-FUN
ಅಷ್ಠಬಂಧ,I-FUN
ಬ್ರಹ್ಮಕಲಶ,I-FUN
ಉಚ್ಚಯ,O
ಡಿ.29,B-NUM
ರ್ದ್,O
ಜ.7,B-NUM
ಮುಟ್ಟ,O
ಬೇತೆ,O
ಬೇತೆ,O
ವೈದಿಕ,O
ಧಾರ್ಮಿಕ,O
ಸಾಂಸ್ಕೃತಿಕ,B-FUN
ಲೇಸ್,I-FUN
ದೊಟ್ಟಿಗೆ,O
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ದ,O
ತಯಾರಿಯಾದ್,O
ಪುದೆಕಾಣಿಕೆ,O
ಮೆರವಣಿಗೆ,B-TRN
ಐತಾರ,O
ತೊಕ್ಕೊಟ್ಟು,B-LOC
ಓವರ್,I-LOC
ಬ್ರಿಡ್ಜ್,I-LOC
ಡ್,O
ಇಪ್ಪುನ,O
ಜೈ,B-ORG
ವೀರಮಾರುತಿ,I-ORG
ವ್ಯಾಯಾಮ,I-ORG
ಶಾಲೆರ್ದ್,I-ORG
ಪಿದಾಡ್,O
ದ್ಂಡ್.,O
*,O
ಬ್ರಹ್ಮಶ್ರೀ,B-PER
ನೀಲೇಶ್ವರ,I-PER
ಉಚ್ಚಿಲತ್ತಾಯ,I-PER
ಪದ್ಮನಾಭ,I-PER
ತಂತ್ರಿಲು,O
ಲೇಸ್,B-FUN
ಗ್,O
ಚಾಲನೆ,O
ಕೊರಿಯೆರ್.,O
*,O
Read,O
more…53,O
ಕುಡ್ಲ,B-LOC
ಚಿಲಿಂಬಿಗುಡ್ಡೆ,I-LOC
ಶ್ರೀ,B-ORG
ರಾಮಾಂಜನೇಯ,I-ORG
ಯುವಕ,I-ORG
ಮಂಡಲ,I-ORG
(ರಿ.),O
*,O
ದ,O
37,B-NUM
ನೇ,O
ವರ್ಷದ,O
ಉಚ್ಚಯ,O
ಗಣಹೋಮ,B-FUN
ಬೊಕ್ಕ,O
ಸಾರ್ವಜನಿಕ,O
ಶ್ರೀ,B-FUN
ಸತ್ಯನಾರಾಯಣ,I-FUN
ಪೂಜೆ,I-FUN
ಜ.6,B-NUM
ಸನಿಯಾರ,O
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಆನಿ,O
ಬೊಲ್ಪುಗು,O
ಪ್ರಾರ್ತನೆ,O
ಆದ್,O
ಗಣಹೋಮ,B-FUN
ಬೊಕ್ಕ,O
ಕೋಡಿಕಲ್,B-LOC
ವಿಶ್ವಕುಮಾರ್,B-PER
ಜೋಯಿಸೆರೆನ,I-PER
ಮುತಾಲಿಕೆಡ್,O
ಶ್ರೀ,O
ಸತ್ಯನಾರಾಯಣ,B-FUN
ದೇವೆರೆನ,I-FUN
ಪೂಜೆ,I-FUN
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಬಯ್ಯಗ್,O
ಕೈತಲ್ದ,O
ಪ್ರತಿಭೆಲೆರ್ದ್,O
ಸಾಂಸ್ಕೃತಿಕ,B-FUN
ಲೇಸ್,I-FUN
ರಾತ್ರೆ,O
ನಮ್ಮ,O
ಕಲಾವಿದೆರ್,O
ಬೆದ್ರ,B-LOC
ಮೊಕ್ಲೆರ್ದ್,O
ಮನಸ್,O
ಮೈದಾನ್,O
Read,O
more…54,O
ಮಣಿಪಾಲ,B-LOC
ರೇಡಿಯೊ,O
ಮಣಿಪಾಲ್,B-LOC
90.4,B-NUM
ಡ್,O
ತುಳುವೆರೆ,O
ಜಾಲ್,O
ಸರಣಿ,O
ಲೇಸ್,B-FUN
ಜ.2,B-NUM
ಅಂಗಾರೆ,O
ಬಯ್ಯಗ್,O
4.5,B-NUM
ಕ್ಕ್,O
ಪ್ರಸಾರ,O
ಆಪುಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಡ್,O
ಕಾರ್ಲ,O
ಸಾಣೂರು,O
ಬರಿಕೆ,O
ಇಲ್ಲದ,O
ಜಲಜಾಕ್ಷಿ,B-PER
ಮೆರೆನ,O
ಪಾಡ್ದನದೊಟ್ಟಿಗೆ,O
ಪಾತೆರಕತೆ,O
ನಡಪಾಯೆರೆ,O
ಉಲ್ಲೆರ್.,O
*,O
ಜ.3,B-NUM
ಕ್ಕ್,O
ಮಧ್ಯಾಹ್ನ,O
12.5,B-NUM
ಕ್ಕ್,O
ಕುಡೊರ,O
ಪ್ರಸಾರ,O
ಆಪುಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ನ್,O
ಆಂಡ್ರಾಯ್ಡ್,O
ಫೋನ್,O
ಬೊಕ್ಕ,O
ಐಫೋನ್,O
ಡ್,O
ರೇಡಿಯೊ,O
ಮಣಿಪಾಲ್,O
ಆಪ್,O
ಡೌನ್ಲೋಡ್,O
ಮಲ್ತ್,O
Read,O
more…55,O
ಥಾಣೆ,B-LOC
ಮೀರಾರೋಡ್,O
ಶ್ರೀ,B-ORG
ದುರ್ಗಾ,I-ORG
ಭಜನ್,I-ORG
ಸೇವಾ,I-ORG
ಮಂಡಳಿ,I-ORG
(ರಿ.),O
*,O
ದ,O
17ನೇ,B-NUM
ವರ್ಷದ,O
ಮಹಾಪೂಜೆ,B-FUN
ಜ.21,B-NUM
ಐತಾರ,O
ಮೀರಾರೋಡ್,O
ಲಕ್ಷ್ಮೀನಾರಾಯಣ,B-FUN
ಭಜನೆ,B-ORG
ಮಂಡಳಿದ,I-ORG
ಕೈತಲ್ದ,O
ಹೋಟೆಲ್,O
ಶ್ರೀ,O
ಬಾಲಾಜಿ,O
ಇಂಟರ್,O
ನ್ಯಾಷನಲ್,O
ಹಾಲ್,O
ಡ್,O
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಡ್,O
ಮಾತೆರ್ಲಾ,O
ಪಾಲ್,O
ಪಡೆದ್,O
ಗಂಧ,O
ಪ್ರಸಾದ,O
ದೆತೊಂದು,O
ಶ್ರೀ,O
ದೇವಿನ,O
ಕೃಪೆಗ್,O
ಪಾತ್ರರಾವೊಡು,O
ಪಂದ್,O
ಶ್ರೀ,O
ದುರ್ಗಾ,B-PER
ಭಜನ್,B-ORG
ಸೇವಾ,I-ORG
ಮಂಡಳಿದ,I-ORG
ಗುರ್ಕಾರೆ,B-ROL
ಪದುಕೆರ್,O
ಬೊಕ್ಕ,O
Read,O
more…56,O
ರಘು,B-PER
ಇಡ್ಕಿದು,O
ಮೆರೆನ,O
‘ಎನ್ನ,O
ನಲಿಕೆ,O
ತುಳು,O
ಬೂಕು,O
ಬುಡುಗಡೆ,O
ಕುಡ್ಲ,O
ತುಳು,O
ನೆಲತ್ತ,O
ಸಂಸ್ಕೃತಿ,O
ಆಚಾರವಿಚಾರ,O
ಸಂಪ್ರದಾಯ,O
ನಂಬಿಕೆದಂಚಿನ,O
ಜಾನಪದ,O
ಕಮ್ಮೆನದ,O
ಮಹತ್ವದ,O
ಸಂಗತಿಲು,O
ಬೂಕು,O
ರೂಪಡ್,O
ಶಾಶ್ವತವಾದ್,O
ದಾಖಲಾವೊಡು.,O
*,O
ಸಾಹಿತಿಲು,O
ಈ,O
ದಿಟ್ಟಿಡ್,O
ಮನಸ್,O
ಮಲ್ಪೊಡು,O
ಪಂದ್,O
ಜಿಲ್ಲಾ,B-GPE
ರಾಜ್ಯೋತ್ಸವ,B-FUN
ಜಾನಪದ,O
ಅಕಾಡೆಮಿ,B-ORG
ಪ್ರಶಸ್ತಿ,O
ಪುರಸ್ಕೃತೆರ್,O
ದೈವನರ್ತಕೆರ್,O
ಲೋಕಯ್ಯ,O
ಸೇರ,O
ಮಾಣಿ,B-LOC
ಪಂಡೆರ್.,O
*,O
ಮೇರ್,O
ಸುರತ್ಕಲ್,B-LOC
ಗೋವಿಂದದಾಸ,B-ORG
ಕಾಲೇಜ್,I-ORG
ದ,O
ಸಾಹಿತ್ಯ,O
ಸಂಘ,O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲಾ,I-LOC
Read,O
more…57,O
ಸುರತ್ಕಲ್,B-LOC
ಸುಭಾಷಿತ,O
ನಗರಡ್,B-GPE
3,B-NUM
ಕೋಟಿ,O
ರೂ.,O
*,O
ಕರ್ಚಿಡ್,O
ಅಭಿವೃದ್ಧಿ,O
ಬೇಲೆದ,O
ಉದಿಪನ,O
ಸುರತ್ಕಲ್,B-LOC
ದ,O
ಸುಭಾಷಿತ,O
ನಗರಡ್,O
3,B-NUM
ಕೋಟಿ,O
ರೂ.,O
*,O
ಕರ್ಚಿಡ್,O
ಮಾರ್ಗ,O
ಅಭಿವೃದ್ಧಿ,O
ಫುಟ್,O
ಪಾತ್,O
ಚರಂಡಿ,O
ಮಾರ್ಗ,O
ಹಂಪ್ಸ್,O
ಇಂಚ,O
ಅಭಿವೃದ್ಧಿ,O
ಕೆಲಸದ,O
ಉದಿಪನ,O
ಲೇಸ್,B-FUN
(ಡಿ.31),B-NUM
ಐತಾರ,O
ಬಯ್ಯಗ್,O
ನಡತ್ಂಡ್.,O
*,O
ಕುಡ್ಲ,B-LOC
ಉತ್ತರ,I-LOC
ಕ್ಷೇತ್ರದ,O
ಶಾಸಕೆರ್,B-POL
ಡಾ.,B-PER
*,O
ವೈ.ಭರತ್,B-PER
ಶೆಟ್ಟಿ,I-PER
ತುಡರ್,O
ಅರ್ಲಾವುನ,O
ಮುಕೇನ,O
ಲೇಸ್,B-FUN
ದ,O
ಉದಿಪನ,O
ಮಲ್ತ್,O
ದ್,O
ಪಾತೆರ್ದ್,O
Read,O
more…58,O
ಮುಲ್ಕಿ,B-LOC
ಫ್ರೆಂಡ್ಸ್,B-ORG
ಪಡುಪಣಂಬೂರು,B-LOC
ಕೂಟದ,O
ಕ್ರಿಕೆಟ್,B-SPT
ಪಂತೊ,I-SPT
ಫೆ.3,B-DATE
ಬೊಕ್ಕ,O
4,B-NUM
ಕ್ಕ್,O
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ನೆತ್ತ,O
ಲೆಪ್ಪೋಲೆನ್,O
ಮುಲ್ಕಿ,B-LOC
ಸೀಮೆ,O
ಅರಸೆರ್,O
ಎಂ,B-PER
ದುಗ್ಗಣ್ಣ,I-PER
ಸಾವಂತೆರ್,I-PER
ಬುಡುಗಡೆ,O
ಮಲ್ತೆರ್.,O
*,O
ಈ,O
ಪೊರ್ತುಡು,O
ಸತೀಶ್,B-PER
ಭಟ್,I-PER
ಬೊಕ್ಕ,O
ಕೂಟದ,O
ಸದಸ್ಯೆರ್,O
ಪಾಲ್,O
ಪಡೆದಿತ್ತೆರ್.,O
*,O
59,B-NUM
ಬಪ್ಪಂಗಾಯಿ,O
(ಗಂಡ್,O
ಕಾಯಿ),O
ಮರತ್ತ,O
ಇರೆಟ್ಟ್,O
ಆರೋಗ್ಯಗ್,B-MED
ಮಸ್ತ್,O
ಪ್ರಯೋಜನ,O
ಉಂಡು.,O
*,O
ಫೈಟೋನ್ಯೂಟ್ರಿಯೆಂಟ್ಸ್,B-MED
ಬೊಕ್ಕ,O
ಆಂಟಿಆಕ್ಸಿಡೆಂಟ್,B-MED
ಅಂಶಲು,O
ಬಪ್ಪಂಗಾಯಿ,O
ಇರೆಟ್ಟ್,O
ಮಸ್ತ್,O
ಉಂಡು.,O
*,O
ಬಪ್ಪಂಗಾಯಿ,O
ಇರೆತ್ತ,O
ಚಾ,O
ರಸ,O
ಪರ್ಂಡ,O
ಜೀರ್ಣಕ್ರಿಯೆ,B-MED
ಸಮಸ್ಯೆ,O
ನಿವಾರಣೆ,O
ಆಪುಂಡು.,O
*,O
ಗ್ಯಾಸ್ಟ್ರಿಕ್,B-MED
ಅಂಗೈ,O
ಉರಿಲ,O
ಕಮ್ಮಿ,O
ಆಪುಂಡು.,O
*,O
ಡೆಂಗ್ಯೂ,B-MED
ಜ್ವರರ್ದ್,I-MED
ನರಲೊಂದು,O
ಇಪ್ಪುನಕುಲು,O
ಬಪ್ಪಂಗಾಯಿ,O
ಇರೆತ್ತ,O
ರಸ,O
ಪರ್ಂಡ,O
ಪ್ಲೇಟ್ಲೆಟ್ಸ್,B-MED
ಎಚ್ಚಾಪುಂಡು.,O
*,O
ಸಕ್ಕರೆ,B-MED
ಸೀಕ್,I-MED
ನ್,O
ಕಮ್ಮಿ,O
ಮಲ್ಪುನ,O
ಕೆಲವು,O
ಮರ್ದ್,B-MED
ದ,O
ಗುಣ,O
Read,O
more…60,O
ನಿಟ್ಟೆ,B-ORG
ಪರಿಗಣಿತ,I-ORG
ವಿಶ್ವವಿದ್ಯಾಲಯದ,I-ORG
ಅಂಗಸಂಸ್ಥೆ,I-ORG
ನಿಟ್ಟೆ,B-LOC
ಮಹಾಲಿಂಗ,O
ಅಡ್ಯಂತಾಯ,O
ಸ್ಮಾರಕ,O
ತಾಂತ್ರಿಕ,O
ಶಿಕ್ಷಣ,B-ACD
ಸಂಸ್ಥೆದ,B-ORG
ಗ್ರಂಥಾಲಯ,I-ORG
ಬೊಕ್ಕ,O
ಮಾಹಿತಿ,B-ORG
ಕೇಂದ್ರದ,I-ORG
ನವೀಕರಣ,O
ಮಲ್ತಿನ,O
ಆವರಣದ,O
ಉದಿಪನ,O
ನಡತ್ಂಡ್.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ನ್,O
ಕಾಲೇಜ್,B-ORG
ದ,O
ಪ್ರಾಂಶುಪಾಲೆರ್,B-ROL
ಡಾ.,I-ROL
*,O
ನಿರಂಜನ್,B-PER
ಚಿಪ್ಲೂಣ್ಕರ್,I-PER
ಮೆರೆನ,O
ಉಪಸ್ಥಿತಿಡ್,B-ROL
ಹಿರಿಯೆರಾಯಿನ,O
ನಿಟ್ಟೆ,B-ORG
ತಾಂತ್ರಿಕ,I-ORG
ಶಿಕ್ಷಣ,I-ORG
ಸಂಸ್ಥೆದ,I-ORG
ಆಡಳಿತ,I-ORG
ಮಂಡಳಿ,I-ORG
ಸದಸ್ಯೆರ್,B-PER
ಪ್ರೊ.,B-ROL
*,O
ಭಾಮೀ,B-PER
ಶೆಣೈ,I-PER
ಉದಿಪನ,O
ಮಲ್ತ್,O
ದ್,O
ಪಾತೆರಿಯೆರ್.,O
*,O
ನಿಟ್ಟೆ,B-LOC
ವಿದ್ಯಾಸಂಸ್ಥೆದ,B-ORG
ನಿರ್ಮಾತೃ,O
ಕೀರ್ತಿಶೇಷ,B-PER
Read,O
more…61,O
ನಿಟ್ಟೆ,B-LOC
ಮಾತೃಜಾ,B-ORG
ಸೇವಾ,I-ORG
ಸಿಂಧು,I-ORG
ಕೂಟದಕುಲು,I-ORG
18ನೇ,B-NUM
ಸೇವಾ,O
ಯೋಜನೆದ,O
ಮುಕೇನ,O
ಕುಡೊಂಜಿ,O
ಬಡಪತ್ತ್,O
ದ,O
ಕುಟುಂಬಗ್,B-FAM
ಪನವುದ,B-LOC
ಸಕಾಯನ್,B-PER
ಮಲ್ತೆರ್.,O
*,O
ಕಲ್ಲಮುಂಡೇರ್,B-LOC
ಕುದ್ರಿಪದವುದ,I-LOC
4,B-NUM
ವರ್ಷದ,B-DATE
ಯಶಿಕಾ,B-PER
ಪನ್ಪಿನ,O
ಎಲ್ಯ,O
ಬಾಲೆ,O
RHABDOMYOSARCOMA,O
ಪನ್ಪುನ,O
ಸೀಕ್,B-MED
ರ್ದ್,O
ಕುಡ್ಲದ,B-LOC
ಕೆ.ಎಂ.ಸಿ,B-ORG
ಅತ್ತಾವರ,B-LOC
ಆಸ್ಪತ್ರೆಡ್,B-MED
ಚಿಕಿತ್ಸೆ,I-MED
ಪಡೆವೊಂದು,O
ಉಂಡು.,O
*,O
ಈ,O
ಬಾಲೆದ,B-PER
ಚಿಕಿತ್ಸೆಗ್,B-MED
13,B-NUM
ಲಕ್ಷದ,O
ಅವಶ್ಯಕತೆ,O
ಉಂಡು,O
ಪಂದ್,O
ವೈದ್ಯೆರ್,B-MED
ತೆರಿಪಾದೆರ್.,O
*,O
ಆಂಡ,O
ಆತೊಂಜಿ,O
ಕಾಸ್,O
ಒಟ್ಟು,O
ಮಲ್ಪರೆ,O
ಆವಂದಿನ,O
Read,O
more…62,O
ಜಪಾನ್,B-LOC
ಡ್,O
(ಜ.1),O
ಕೋಡೆ,O
ನಡತಿನ,O
7.6,B-NUM
ಬಿರ್ಸ್,O
ದ,O
ಭೂಕಂಪಡ್,O
6,B-NUM
ಜನ,O
ನಾಗರಿಕೆರ್,O
ತೀರ್,O
ಪೋಯೆರ್,O
ಪಂದ್,O
ಸರ್ಕಾರ,B-ORG
ತೆರಿಪಾದ್ಂಡ್.,O
*,O
ಇಶಿಕಾವಾ,B-LOC
ಕಡಲ್,O
ದ,O
ಬರಿಟ್ಟ್,O
ಸುನಾಮಿ,O
ಬತ್ತಿನ,O
ಬೊಕ್ಕ,O
ಈ,O
ಪುನಕುಲು,O
ಪತ್ತೆ,O
ಆತ್ಂಡ್,O
ಪಂದ್,O
ಅಲ್ಪದ,O
ಅಧಿಕಾರಿಲು,B-POL
ತೆರಿಪಾದೆರ್.,O
*,O
ಅತ್ತಂದೆ,O
ಮುಲ್ಪ,O
2,B-NUM
ಸರ್ತಿ,O
ಭೂಕಂಪ,O
ನಡತಿರ್ನೆದಾವೆರ,O
30,B-NUM
ಸಾರರ್ದ್,O
ಎಚ್ಚ,O
ಇಲ್ಲ್,O
ಗ್,O
ಕೊರ್ತಿನ,O
ಕರೆಂಟ್,O
ಸಂಪರ್ಕ,O
ಇಜ್ಜಂದೆ,O
ಜನ,O
ಕತ್ತಲೆಡ್,O
ಜೀವನ,O
Read,O
more…63,O
ಮಂಕುಡೆ,B-LOC
ಶ್ರೀ,O
ಧರ್ಮಶಾಸ್ತಾವು,B-PER
ಭಕ್ತವೃಂದದ,B-ORG
ಇರುಮುಡಿ,O
ಕಟ್ಟುನ,O
ಲೇಸ್,B-FUN
ಬೊಕ್ಕ,O
ಆಟ,B-FUN
ಜ.9,B-DATE
ಮಂಕುಡೆ,B-LOC
ಮಹಾವಿಷ್ಣುಮೂರ್ತಿ,B-ORG
ದೇವಲ್ಯಡ್,I-ORG
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಆನಿ,O
ಬೊಲ್ಪುಗು,O
ಇರುಮುಡಿ,B-FUN
ಕಟ್ಟಿಯೆರೆ,I-FUN
ಮಧ್ಯಾಹ್ನ,O
ಮಹಾ,B-FUN
ಮಂಗಳಾರತಿ,I-FUN
ಪ್ರಸಾದ,O
ಪಟ್ಟಿಯೆರೆ,O
ಬೊಕ್ಕ,O
ಅನ್ನ,O
ಪ್ರಸಾದ,O
ಸೇವೆ,O
ಬಯ್ಯಗ್,O
ಶ್ರೀ,O
ದೇವಿ,O
ಮಹಾತ್ಮೆ,O
ಆಟ,B-FUN
ಬೊಕ್ಕ,O
ಮನಾದಾನಿ,O
(ಜ.10),B-DATE
ಬೊಲ್ಪುಗು,O
ಯಾತ್ರೆ,O
ಪಿದಾಡುಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ಗ್,O
ಭಕ್ತೆರ್,O
ಮಾತೆರ್ಲಾ,O
ಬತ್ತ್,O
ದ್,O
ಶ್ರೀ,B-FUN
ಸ್ವಾಮಿನ,I-FUN
ಯಾತ್ರೆ,I-FUN
ಪೊರ್ಲುಡು,O
Read,O
more…64,O
ನಿಟ್ಟೆ,B-LOC
ಮಾತೃಜಾ,O
ಸೇವಾ,O
ಸಿಂಧು,O
ಕೂಟದಕುಲು,O
17ನೇ,B-NUM
ಸೇವಾ,O
ಯೋಜನೆದ,O
ಮುಕೇನ,O
ಒಂಜಿ,O
ಬಡಪತ್ತ್,O
ದ,O
ಕುಟುಂಬಗ್,B-FAM
ಪನವುದ,O
ಸಕಾಯ,O
ಮಲ್ತೆರ್.,O
*,O
ಕಿನ್ನಿಗೋಳಿದ,B-LOC
ಪೂಜಿತ್,B-PER
ಶೆಟ್ಟಿಗಾರ್,I-PER
ಪನ್ಪುನ,O
6,B-NUM
ತಿಂಗೊಲ್ದ,O
ಬಾಲೆಗ್,O
ಕಣ್ಣ್,O
ದ,O
ಕ್ಯಾನ್ಸರ್,B-MED
ಉಂಡು.,O
*,O
ಇತ್ತೆ,O
ಬೆಂಗ್ಲೂರುದ,B-LOC
ಆಸ್ಪತ್ರೆಡ್,B-MED
ಚಿಕಿತ್ಸೆ,I-MED
ಪಡೆವೊಂದು,O
ಉಂಡು.,O
*,O
ಈ,O
ಬಾಲೆದ,O
ಚಿಕಿತ್ಸೆಗ್,B-MED
ಸುಮಾರ್,O
15,B-NUM
ಲಕ್ಷ,O
ರೂ.,O
*,O
ದ,O
ಅವಶ್ಯಕತೆ,O
ಉಂಡು,O
ಪಂದ್,O
ವೈದ್ಯೆರ್,B-MED
