Words,NER Tag
ಸೇವೆದ,B-ACD
ಸಹಾಯಗಾದ್,I-ACD
‘ಸಹಾಯವಾಣಿ’ನ್,B-ORG
ಲೆಪ್ಪು,O
ಕೊರೋಲಿ,O
ಪಂದ್,O
ಜಿಲ್ಲಾ,B-ORG
ಆರೋಗ್ಯ,I-ORG
ಬೊಕ್ಕ,O
ಕುಟುಂಬ,B-ORG
ಕಲ್ಯಾಣ,I-ORG
ಅಧಿಕಾರಿದ,B-POL
ಪ್ರಕಟನೆ,I-POL
ತೆರಿಪಾದೆರ್,O
.,O
ಡಾ.,B-PER
ರತ್ನಾಕರ್,I-PER
ಗಾಣಿಗ,I-PER
(,O
ದ.ಕ.,B-LOC
ಜಿಲ್ಲಾ,B-GPE
ಕುಷ್ಠರೋಗ,B-ROL
ನಿವಾರಣಾಧಿಕಾರಿ,I-ROL
ಬೊಕ್ಕ,O
ನೋಡಲ್,B-ROL
ಅಧಿಕಾರಿ,I-ROL
ಆಯುಷ್ಮಾನ್,I-ORG
ಭಾರತ,I-ORG
ಬೊಕ್ಕ,O
ಆರೋಗ್ಯ,B-ORG
ಕರ್ನಾಟಕ),I-ORG
ಮೊ.ಸಂ:,B-ACD
9480157604,B-NUM
ಸಚ್ಚಿದಾನಂದ,B-PER
(ಜಿಲ್ಲಾ,B-ORG
ಸಂಯೋಜಕೆರ್,I-ORG
ಆಯುಷ್ಮಾನ್,I-ORG
ಭಾರತ,I-ORG
ಬೊಕ್ಕ,O
ಆರೋಗ್ಯ,B-ORG
ಕರ್ನಾಟಕ),I-ORG
ಮೊ.ಸಂ:,B-ACD
7259003406,B-NUM
ಕೇಂದ್ರ,B-ORG
ಸರ್ಕಾರದ,I-ORG
ಆದೇಶದ,B-POL
18,B-NUM
ವರ್ಷ,B-DATE
ಮಿತ್ತ್ದಕ್ಲೆಗ್,O
ಕೋವಿಡ್,B-MED
ಲಸಿಕೆ,I-MED
ಪಾಡುನೆರ್ದಾವರ,O
ಲಸಿಕೆ,I-MED
ಪಡೆಯಿನ,O
28,B-NUM
ದಿನ,B-DATE
ಮುಟ,O
ನೆತ್ತೆರ್,B-MED
ದಾನ,I-MED
ಮಲ್ಪರೆ,O
ಅವಕಾಶ,B-ACD
ಇಜ್ಜಂದಿನೇರ್ದಾವರ,O
ಕುಂದಾಪುರದ,B-LOC
ಭಾರತೀಯ,B-ORG
ರೆಡ್ಕ್ರಾಸ್,I-ORG
ಸಂಸ್ಥೆಡ್,I-ORG
ನೆತ್ತೆರ್ಗ್,B-MED
ಕೊರತೆ,I-MED
ಉಂಡು,O
ಪಂದ್,O
ಕೆಲವೊಂಜಿ,O
ಸಾಮಾಜಿಕ,B-ENT
ಜಾಲತಾಣಡ್,I-ENT
ಬೈದಿನಂಚಿನ,O
ವರದಿನ್,B-POL
ಕುಂದಾಪುರದ,B-LOC
ರೆಡ್ಕ್ರಾಸ್,B-ORG
ಸಂಸ್ಥೆದ,I-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಜಯಕರ,B-PER
ಶೆಟ್ಟಿ,I-PER
ತೆರಿಪಾಯೆರ್,O
.,O
ಕುಂದಾಪುರದ,B-LOC
ಭಾರತೀಯ,B-ORG
ರೆಡ್,I-ORG
ಕ್ರಾಸ್,I-ORG
ಸಂಸ್ಥೆಡ್,I-ORG
ಸದ್ಯ,O
ನೆತ್ತೆರ್,B-MED
ಕೊರತೆ,I-MED
ಇಜ್ಜಿ,O
.,O
18,B-NUM
ವರ್ಷ,B-DATE
ಮಿತ್ತ್ದಕುಲು,O
",",O
ಕೋವಿಡ್,B-MED
ಲಸಿಕೆ,I-MED
ಪಡೆಯಿನಕುಲು,O
28,B-NUM
ದಿನರ್ದ್,B-DATE
ಬೊಕ್ಕ,O
ನೆತ್ತೆರ್,B-MED
ದಾನ,I-MED
ಮಲ್ಪೋಲಿ,O
ಒಂಜಿ,O
ಲಸಿಕೆ,B-MED
ಪಡೆಯಿ,O
ಬೊಕ್ಕ,O
ನನೊಂಜಿ,O
ಲಸಿಕೆ,B-MED
ಪಡೆಯರೆ,O
45,B-NUM
ದಿನ,B-DATE
ಅಂತರ,O
ಉಪ್ಪೊಡು,O
.,O
ಐತ,O
ನಡುಟು,O
ಮೆಕುಲು,O
ನೆತ್ತೆರ್,B-MED
ದಾನ,I-MED
ಮಲ್ಪೋಲಿ,O
ಪಂದ್,O
ಪಂಡೆರ್,O
.,O
ರಾಜ್ಯಡ್,B-GPE
ಕೋವಿಡ್,B-MED
ರಡ್ಡನೇ,O
ಅಲೆತ,B-MED
ತೀವ್ರ,O
ಸ್ವರೂಪನ್,O
ಪಡೆಯೊಂದು,O
ಉಪ್ಪುನ,O
ನೆಲೆಟ್ಟ್,O
ಜಮಾಅತೆ,B-ORG
ಇಸ್ಲಾಮೀ,I-ORG
ಹಿಂದ್ದ,I-ORG
ರಾಜ್ಯ,I-ORG
ಘಟಕ,I-ORG
ತನ್ನ,O
ಅಂಗಸಂಸ್ಥೆಲಾಯಿನ,B-ORG
ಹುಮ್ಯಾನಿಟೇರಿಯನ್,I-ORG
ರಿಲೀಫ್,I-ORG
ಸೊಸೈಟಿ,I-ORG
(ಹೆಚ್.ಆರ್.ಎಸ್.),I-ORG
",",O
ಎಸ್.ಐ.ಓ.,B-ORG
",",O
ಸಾಲಿಡಾರಿಟಿ,B-ORG
ಯೂತ್,I-ORG
ಮೂವ್ಮೆಂಟ್,I-ORG
",",O
ಡಾಕ್ಟರ್ಸ್,B-ORG
ಫಾರ್,I-ORG
ಹುಮ್ಯಾನಿಟಿ,I-ORG
ಬೊಕ್ಕ,O
ಫಾರ್ವರ್ಡ್,I-ORG
ಟ್ರಸ್ಟ್-,I-ORG
ಮೆಕ್ಲೆನ,O
ಒಟ್ಟು,O
ಸೇರಿಗೆಡ್,O
ರಾಜ್ಯಡ್,B-GPE
ಕೋವಿಡ್,B-ORG
ರಿಲೀಫ್,I-ORG
ಟಾಸ್ಕ್,I-ORG
ಫೋರ್ಸ್,I-ORG
ಸುರು,O
ಮಲ್ದೆರ್,O
.,O
ಈ,O
ಟಾಸ್ಕ್,B-ORG
ಫೋರ್ಸ್ಡ್,I-ORG
ರಾಜ್ಯದ,B-GPE
ಬೇತೆ,O
ಬೇತೆ,O
ಭಾಗದ,B-LOC
ಸುಮಾರ್,O
1500ರ್ದ್,B-NUM
ಲಾ,O
ಜಾಸ್ತಿ,O
ಸ್ವಯಂ,B-ROL
ಸೇವಕೆರ್,I-ROL
ಬೇಲೆ,B-ACD
ಮಲ್ತೊಂದು,O
ಉಲ್ಲೆರ್,O
.,O
ಟಾಸ್ಕ್,B-ORG
ಫೋರ್ಸ್ಡ್,I-ORG
ಮೆಡಿಕಲ್,I-ORG
ಎಮರ್ಜೆನ್ಸಿ,I-ORG
ಫೋರ್ಸ್,I-ORG
",",O
ರಿಲೀಫ್,B-MED
ವರ್ಕ್,I-MED
ಫೋರ್ಸ್,I-MED
ಬೊಕ್ಕ,O
ವಾರ್,B-ORG
ರೂಮ್,I-ORG
ವರ್ಕ್,I-ORG
ಫೋರ್ಸ್,I-ORG
ಪನ್ಪಿನ,O
3,B-NUM
ವಿಭಾಗ,B-ACD
ಉಂಡು,O
ವ್ಯವಸ್ಥಿತವಾದ್,B-ACD
ಮೆಕುಲು,O
ಬೇಲೆ,B-ACD
ಮಲ್ತೊಂದು,O
ಉಲ್ಲೆರ್,O
.,O
ಕರ್ನಾಟಕ,B-LOC
ಮುಸ್ಲಿಂ,B-ORG
ಜಮಾಅತ್,I-ORG
ಅಧೀನಡ್,I-ORG
ರಾಜ್ಯಡ್,B-GPE
ಬೇಲೆ,B-ACD
ಮಲ್ಪರೆ,O
ಉಪ್ಪುನ,O
‘ಸಹಾಯ್’,B-ORG
ತುರ್ತು,I-ORG
ಸೇವಾ,I-ORG
ಕೂಟಗ್,B-FUN
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲೆಡ್,B-GPE
ಅಧಿಕೃತ,O
ಚಾಲನೆ,O
ಕೊರಿಯೆರ್,O
.,O
ಸಯ್ಯಿದ್,B-PER
ಶಿಹಾಬುದ್ದೀನ್,I-PER
ತಂಙಳ್,I-PER
ಮದಕ,I-PER
ಪ್ರಾರ್ಥನೆಗ್,O
ಚಾಲನೆ,O
ಕೊರಿಯೆರ್,O
.,O
ಎಸ್.ವೈ.ಎಸ್,B-ORG
ರಾಜ್ಯ,B-ROL
ಪ್ರಧಾನ,I-ROL
ಕಾರ್ಯದರ್ಶಿ,I-ROL
ಡಾ.ಎಮ್ಮೆಸ್ಸೆಂ,B-PER
ಅಬ್ದುರ್ರಶೀದ್,I-PER
ಝೈನಿ,I-PER
ಲೇಸ್ದ,B-FUN
ಉದಿಪನ,O
ಮಲ್ತೆರ್,O
ಲೇಸ್ದ,B-FUN
ಗುರ್ಕಾರ್ಮೆನ್,B-ROL
.,O
ವಯಿಸೊಂದಿನ,O
ಕರ್ನಾಟಕ,B-LOC
ಮುಸ್ಲಿಂ,B-ORG
ಜಮಾಅತ್,I-ORG
ರಾಜ್ಯ,B-ROL
ಪ್ರಧಾನ,I-ROL
ಕಾರ್ಯದರ್ಶಿ,I-ROL
ಶಾಫಿ,B-PER
ಸಅದಿ,I-PER
ಬೆಂಗಳೂರು,B-LOC
ವಿಷಯ,B-ACD
ಮಂಡಿಸಾದ್,O
",",O
ತುರ್ತು,B-ORG
ಸೇವಾ,I-ORG
ತಂಡದ,I-ORG
ಅನಿವಾರ್ಯತೆ,O
",",O
ಕಾರ್ಯಾಚರಣೆ,B-POL
ಬೊಕ್ಕ,O
ಯೋಜನೆದ,B-POL
ಬಗ್ಗೆ,O
ಪಾತೆರಿಯೆರ್,O
.,O
ಆಧ್ಯಾತ್ಮಿಕ,B-ROL
ನಾಯಕೆರ್,I-ROL
",",O
ಕರ್ನಾಟಕ,B-LOC
ಮುಸ್ಲಿಂ,B-ORG
ಜಮಾಅತ್ದ,I-ORG
ಒತ್ತುಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಹಝ್ರತ್,B-PER
ಮುಹಮ್ಮದ್,I-PER
ಫಾಝಿಲ್,I-PER
ರಝ್ವಿ,I-PER
ಕಾವಳಕಟ್ಟೆ,B-LOC
ಮೇರ್,O
‘ಸಹಾಯ್’,B-ORG
ತುರ್ತು,I-ORG
ಸೇವಾ,I-ORG
ತಂಡದ,I-ORG
ಪುದರ್,B-ACD
ಬೊಕ್ಕ,O
ಲೋಗೋ,B-ACD
ಬುಡುಗಡೆ,O
ಮಲ್ತೆರ್,O
.,O
ಕೋವಿಡ್,B-MED
ಕರ್ಫ್ಯೂ,B-POL
ನೆಲೆಟ್ಟ್,O
ಕೆಸ್ಸಾರ್ಟಿಸಿ,B-ORG
ಬಸ್ಸುದ,B-TRS
ಓಡಾಟ,I-TRS
ಉಂತಾದೆರ್,O
ಬಸ್,B-TRS
ಮಾತಾ,O
ಘಟಕಡೆ,B-ORG
ಉಂತುನ,O
ಮುಖೇನ,O
ಆಪಿನoಚಿನ,O
ತಾಂತ್ರಿಕ,B-POL
ಸಮಸ್ಯೆಲೆನ್,I-POL
ನಿವಾರಿಸಾವುನ,O
ನೆಲೆಟ್ಟ್,O
ಪುತ್ತೂರು,B-LOC
ಕೆಸ್ಸಾರ್ಟಿಸಿ,B-ORG
ಘಟಕರ್ದ್,I-ORG
ಪ್ರತಿದಿನ,B-DATE
30,B-NUM
ಬಸ್ಸುಲೆನ್,B-TRS
ಪಿದಾಯಿ,O
ದೆತ್ತ್ದ್,O
ಬಸ್ಸು,B-TRS
ನಿಲ್ದಾಣದ,I-TRS
ಮುಟ,O
ಸಂಚರಿಸಾದ್,O
ಐರ್ದ್,O
ಬೊಕ್ಕ,O
ಕುಡ,O
ಘಟಕಡ್,B-ORG
ಉಂತಾವೊಡು,O
ಪಂದ್,O
ಆದೇಶ,B-POL
ಕೊರ್ತೆರ್,O
.,O
ಸರ್ಕಾರದ,B-ORG
ನಿಯಮ,B-POL
ಉಲ್ಲಂಘನೆ,I-POL
ಮಲ್ತ್ದ್,O
ದ್ವಿತೀಯ,B-ACD
ಪಿಯುಸಿದ,I-ACD
ಜೋಕ್ಲೆನ್,B-FAM
ಹಾಸ್ಟೆಲ್ಡ್,B-ACD
ದೀತಿನೆಕ್ಕ್,O
ಕುಡ್ಲದ,B-LOC
ವಲಚ್ಚಿಲ್,I-LOC
ಎಕ್ಸ್ಪರ್ಟ್,B-ORG
ಕಾಲೇಜ್ದ,I-ORG
ಆಡಳಿತ,I-ORG
ಮಂಡಳಿದ,I-ORG
ವಿರುದ್ಧ,B-POL
ಮಂಗಳೂರು,B-LOC
ಗ್ರಾಮಾಂತರ,B-ORG
ಠಾಣೆಡ್,I-ORG
ಪ್ರಕರಣ,B-POL
ದಾಖಲಾತುಂಡು,O
.,O
ಎಕ್ಸ್ಪರ್ಟ್,B-ORG
ಕಾಲೇಜ್ದ,I-ORG
ಆಡಳಿತ,I-ORG
ಸಂಸ್ಥೆದ,I-ORG
ದ್ವಿತೀಯ,B-ACD
ಪಿಯುಸಿದ,I-ACD
30,B-NUM
ಜೋಕ್ಲೆನ್,B-FAM
ವಿದ್ಯಾಸಂಸ್ಥೆಡ್,B-ORG
ದೀದಿತ್ತೆರ್,O
ಮೆಕ್ಲೆನ,O
",",O
ಪೋಷಕೆರ್,B-FAM
ಜೋಕ್ಲೆನ್,I-FAM
ಲೆತೊಂದು,O
ಪೋಯೆರೆ,O
ಪಂದ್,O
ದೂರದ,O
ಊರುರ್ದು,B-GPE
ಬತ್ತಿತ್ತೆರ್,O
.,O
ರಾಜ್ಯೋಡು,B-GPE
ಕೊರೊನಾ,B-MED
ಕರ್ಫ್ಯೂ,B-POL
ಘೋಷಣೆ,I-POL
ಮಲ್ತಿತ್ತುಂಡಲ,O
ಜೋಕ್ಲೆನ್,B-FAM
ಪೋಷಕೆರ್ನಟ್ಟಿಗೆ,B-POL
ಕಡಪಾವಂದೆ,O
ಶೈಕ್ಷಣಿಕ,B-ACD
ಚಟುವಟಿಕೆ,I-ACD
ನಡಪಾದ್,O
ಕೋವಿಡ್,B-MED
ಸಾಂಕ್ರಾಮಿಕ,I-MED
ರೋಗ,I-MED
ತೀವ್ರವಾದ್,O
ಪಸರೆರೆ,B-MED
ಕಾರಣೆರಾತೆರ್,O
.,O
ಜನಜಂಗುಳಿ,B-COM
ಇತ್ತಿನ,O
ಪೇಂಟೆದ,B-GPE
ಸೆಂಟ್ರಲ್,B-ORG
ಮಾರ್ಕೆಟ್,I-ORG
ಶುಕ್ರವಾರ,B-DATE
ಸಂಪೂರ್ಣ,O
ಬಂದ್,B-POL
ಆತುಂಡು,O
.,O
ಜಿಲ್ಲಾಧಿಕಾರಿ,B-ROL
ಡಾ.ಕೆ.ವಿ,B-PER
ರಾಜೇಂದ್ರ,I-PER
ಆದೇಶ,B-POL
ಕೊರ್ತೆರ್,O
.,O
ಈ,O
ನೆಲೆಟ್ಟ್,O
ಮಾರ್ಕೆಟ್ನ್,B-GPE
ಸಂಪೂರ್ಣ,O
ಬಂದ್,B-POL
ಮಲ್ದೆರ್,O
.,O
ಗುರುವಾರ,B-DATE
ಕಾಂಡೆ,I-DATE
10,B-NUM
ಗಂಟೆ,B-DATE
ಮುಟಲ,O
ಮಾರ್ಕೆಟ್ಡ್,B-GPE
ಜನಕುಲು,B-COM
ಇತ್ತೆರ್,O
.,O
ಮಾಸ್ಕ್,B-MED
ಇಜ್ಜಂದೆ,O
",",O
ಸಾಮಾಜಿಕ,B-POL
ಅಂತರ,I-POL
ಇಜ್ಜಂದೆ,O
ಬೇರ,O
ಮಲ್ತೊಂದು,O
ಇತ್ತೆರ್,O
.,O
ಈ,O
ನೆಲೆಟ್ಟ್,O
ಮಾರ್ಕೆಟ್,B-GPE
ಸುತ್ತ,O
ಪೋಲಿಸೆರ್,B-ROL
ಗೇಟ್,O
ಪಾರ್ದ್,O
ಬಂದ್,B-POL
ಮಲ್ದೆರ್,O
.,O
ಆತೆ,O
ಅತ್ತoದೆ,O
ಬೈಕಂಪಾಡಿ,B-LOC
ಎಪಿಎಂಸಿಡೆ,B-ORG
ಬೇರ,O
ಮಲ್ಪೊಡು,O
ಪಂದ್,O
ಆದೇಶ,B-POL
ಕೊರ್ತೆರ್,O
.,O
ಕೋವಿಡ್,B-MED
ಪಸರುನೆನ್,I-MED
ತಡೆಯರೇ,O
ಪ್ರತಿ,O
ಒರಿಲಾ,O
ಕಡ್ಡಾಯವಾದ್,O
ಮಾಸ್ಕ್,B-MED
ಪಾಡೋಡು,O
",",O
ಅಂತರ,O
ಕಾಪೋಡು,O
ಪಂದ್,O
ಯೇತ್,O
ಪಂಡಲಾ,O
ಜನಕುಲು,B-COM
ಕೆಬಿಕ್,O
ದೆತೊನೊಂದು,O
ಇಜ್ಜೆರ್,O
ಆಂಡ,O
ಪುತ್ತೂರುಡು,B-LOC
ಒರಿ,O
ತನ್ನ,O
ಮೋಕೆದ,O
ಶ್ವಾನಗ್ಲಾ,B-LEF
ಮಾಸ್ಕ್,B-MED
ಪಾಡುನ,O
ಮುಖೇನ,O
ಜಾಗೃತಿದ,B-POL
ಸಂದೇಶ,O
ಕೊರ್ತೆರ್,O
.,O
ಕೋವಿಡ್,B-MED
ಕರ್ಫ್ಯೂ,B-POL
ಪೊರ್ತು,B-DATE
ಕಾಂಡೆ,I-DATE
6,B-NUM
ಗಂಟೆರ್ದ್,B-DATE
10,B-NUM
ಗಂಟೆ,B-DATE
ಮುಟ,O
ಅಗತ್ಯ,O
ವಸ್ತುಲೆನ,B-GRC
ಖರೀದಿಗ್,O
ಅವಕಾಶ,B-ACD
ಕೊರ್ತೆರ್,O
",",O
ಈ,O
ಪೊರ್ತುಡು,B-DATE
ಪುತ್ತೂರು,B-LOC
ಪೇಂಟೆದ,B-GPE
ದರ್ಬೆಡ್,B-LOC
ಪುತ್ತೂರು,I-LOC
ನಗರ,B-ORG
ಠಾಣೆದ,I-ORG
ಪೊಲೀಸೆರ್,I-ORG
ಅನಗತ್ಯ,O
ಓಡಾಟದ,B-TRS
ವಾಹನಲೆನ್,I-TRS
ಉಂತಾವುನ,O
ಸಲುವಾದ್,O
ವಾಹನ,B-TRS
ತಪಾಸಣೆ,I-TRS
ಮಲ್ತೊಂದು,O
ಇತ್ತಿನ,O
ಪೊರ್ತುಡು,B-DATE
ದಿಚಕ್ರ,B-TRS
ವಾಹನಡ್,I-TRS
ಇತ್ತಿನ,O
ಶ್ವಾನಗ್ಲಾ,B-LEF
ಮಾಸ್ಕ್,B-MED
ಧಾರಣೆ,I-MED
ಮಲ್ದಿನ,O
ತೊಜಿದ್,O
ಬತ್ತುಂಡು,O
.,O
ದರ್ಬೆ,B-LOC
ಪ್ರವೀಣ್,B-ORG
ಡ್ರೈವಿಂಗ್,I-ORG
ಸ್ಕೂಲ್,I-ORG
ಸಂಸ್ಥೆದ,I-ORG
ಮಾಲೀಕೆರಾಯಿನ,B-ROL
ಪ್ರವೀಣ್,B-PER
ಡಿಸೋಜ,I-PER
ಮೇರ್,O
ತನ್ನ,O
ರಡ್ಡರೆ,O
ವರ್ಷ,B-DATE
ಪ್ರಾಯದ,I-DATE
ಶ್ವಾನದ,B-LEF
ಮೋನೆಗ್,O
ಮಾಸ್ಕ್,B-MED
ಪಾರ್ದಿನ,O
ಶ್ಲಾಘನೀಯ,O
.,O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
",",O
ಚಿಕ್ಕಮಗಳೂರು,B-LOC
ಪೇಂಟೆಡ್,I-LOC
ಕೆಲವು,O
ಕಡೆ,B-LOC
ಗುರುವಾರ,B-DATE
ಬಾರಿ,O
ಬರ್ಸ,B-LEF
ಬೈದುಂಡು,O
.,O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲೆದ,I-LOC
ಕಡಬ,I-LOC
",",O
ಸುಳ್ಯ,B-LOC
ಪೇಂಟೆಡ್,B-GPE
ತೆಡಿಲ್,B-LEF
ದೊಟ್ಟುಗು,O
ಆಲಿಕಲ್ಲು,B-LEF
ಬರ್ಸ,I-LEF
ಬೈದುಂಡು,O
.,O
ಕುಕ್ಕೆ,B-LOC
ಸುಬ್ರಹ್ಮಣ್ಯ,I-LOC
",",O
ಬಿಳಿನೆಲೆ,B-LOC
",",O
ನೂಜಿಬಾಳ್ತಿಲ,B-LOC
",",O
ರೆಂಜಿಲಾಡಿ,B-LOC
",",O
ಇಚ್ಲಂಪಾಡಿ,B-LOC
",",O
ಕಡ್ಯ,B-LOC
ಕೊಣಾಜೆ,I-LOC
",",O
ಬಳ್ಪ,B-LOC
",",O
ಯೇನೆಕಲ್ಲು,B-LOC
",",O
ಐನೆಕಿದು,B-LOC
",",O
ಸುಳ್ಯ,B-LOC
ತಾಲೂಕಿನ,I-LOC
ಪಂಜ,I-LOC
",",O
ಕೊಲ್ಲಮೊಗ್ರು,B-LOC
",",O
ಹರಿಹರ,B-LOC
ಪಲ್ಲತಡ್ಕ,I-LOC
",",O
ಕಲ್ಮಕಾರು,B-LOC
ವ್ಯಾಪ್ತಿಡ್,I-LOC
ಬರ್ಸ,B-LEF
ಬೈದುಂಡು,O
.,O
ಸಂಪಾಜೆ,B-LOC
ಭಾಗಡ್,I-LOC
ಲಾ,O
ಬರ್ಸ,B-LEF
ಬೈದುಂಡು,O
.,O
ಕಲ್ಲಾಜೆ,B-LOC
",",O
ಕಲ್ಮಡ್ಕ,B-LOC
",",O
ಪಂಜ,B-LOC
",",O
ಈಶ್ವರಮಂಗಲ,B-LOC
",",O
ಕೊಯಿಲ,B-LOC
",",O
ಉಜಿರೆ,B-LOC
",",O
ಪಂಜಿಕಲ್ಲು,B-LOC
ಪೆರಾಜೆ,I-LOC
",",O
ಚಿಕ್ಕಮಗಳೂರು,B-LOC
ಜಿಲ್ಲೆದ,I-LOC
ಕೊಟ್ಟಿಗೆಹಾರ,I-LOC
",",O
ಕಳಸ,B-LOC
",",O
ಕೊಪ್ಪಡ್,B-LOC
",",O
ತೆಡಿಲ್,B-LEF
ದೊಟ್ಟುಗು,O
ಭಾರಿ,O
ಬರ್ಸ,B-LEF
ಬೈದುಂಡು,O
.,O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲೆಡ್,B-GPE
ಕೋವಿಡ್,B-MED
2ನೇ,B-NUM
ಅಲೆ,I-MED
ಜಾಸ್ತಿ,O
ಆವೊಂದು,O
ಉಂಡು,O
.,O
ಜಿಲ್ಲೆಡ್,B-GPE
ಪ್ರತೀ,O
ದಿನ,B-DATE
ಸರಾಸರಿ,O
500ರ್ದ್,B-NUM
ಹೆಚ್ಚಿನ,O
ಪ್ರಕರಣಲು,B-POL
ದಾಖಲಾವೊಂದು,O
ಉಂಡು,O
.,O
ಐಟ್ಲಾ,O
ಒಂಜಿ,O
ತಿಂಗೊಲ್ಡು,B-DATE
20ರ್ದ್,B-NUM
ಜಾಸ್ತಿ,O
ಇಲ್ಲಡ್,B-FAM
ತಲಾ,O
ಐನೆರ್ದ್,O
ಜಾಸ್ತಿ,O
ಕೋವಿಡ್,B-MED
ಸೋಂಕಿತೆರ್,I-MED
ಪತ್ತೆಯಾವೊಂದು,I-MED
ಉಲ್ಲೆರ್,O
",",O
ಉಂದುವೇ,O
ಕಾರಣಗ್,O
ಆರೋಗ್ಯ,B-ORG
ಇಲಾಖೆ,I-ORG
ಕೊರೊನಾ,B-MED
ತಪಾಸಣೆನ್ಲಾ,I-MED
ಜಾಸ್ತಿ,O
ಮಲ್ದುಂಡು,O
.,O
ಪೇಂಟೆದ,B-GPE
ಕೇಂದ್ರ,B-ORG
ಮಾರುಕಟ್ಟೆನ್,I-ORG
ಬೈಕಂಪಾಡಿಗ್,B-LOC
ಸ್ಥಳಾಂತರ,O
ಮಲ್ತ್ತುಂಡಲ,O
ಕೆಲವು,O
ಜನ,B-COM
ಕೋವಿಡ್-19,B-MED
ನಿಯಮ,B-POL
ಉಲ್ಲಂಘನೆ,I-POL
ಮಲ್ತ್ದ್,O
ಸೋಂಕು,B-MED
ಪರಡರೆ,I-MED
ಅನುವು,O
ಮಲ್ತ್,O
ಕೊರ್ಪಿನ,O
ನೆಲೆಟ್ಟ್,O
ಕೇಂದ್ರ,B-ORG
ಮಾರುಕಟ್ಟೆದ,I-ORG
ಕೈತಲ್,O
ಬೇರ,O
ಮಲ್ತೊಂದು,O
ಉಲ್ಲೆರ್,O
ಅಂಚಾದ್,O
ಈ,O
ಪರಿಸರಡ್,B-LEF
ಬೇರ,O
ಮಲ್ಪರೆ,O
ಅವಕಾಶ,B-ACD
ಇಜ್ಜಿ,O
ಪಂದ್,O
ದ.ಕ.ಜಿಲ್ಲಾಧಿಕಾರಿ,B-ROL
ಡಾ.ರಾಜೇಂದ್ರ,B-PER
ಕೆ.ವಿ.,I-PER
ತೆರಿಪಾದೆರ್,O
.,O
ಕೇಂದ್ರ,B-ORG
ಮಾರುಕಟ್ಟೆದ,I-ORG
ಪರಿಸರಡ್,B-LEF
ವ್ಯಾಪಾರ,B-POL
ವಹಿವಾಟು,I-POL
ಮಲ್ತೊಂದು,O
ಉಪ್ಪುನ,O
ಬಗ್ಗೆ,O
ಗುರುವಾರ,B-DATE
ನಡತಿನ್,O
ಸಭೆತ,B-FUN
ಗುರ್ಕಾರ್ಮೆ,B-ROL
ವಯಿಸೊಂದು,O
ಮೇರ್,O
ಪಾತೆರಿಯೆರ್,O
.,O
ಕುಡ್ಲ,B-LOC
ಕೇಂದ್ರ,B-ORG
ತರಕಾರಿ,I-ORG
ಬೊಕ್ಕ,O
ಮೀನು,B-ORG
ಮಾರುಕಟ್ಟೆದ,I-ORG
ಕೈತಲ್ದ,O
ಪ್ರದೇಶಡ್,B-LOC
ಮಾರ್ಗದ,B-TRS
ಬರಿ,O
ಬೇರ,O
ಮಲ್ಪುನಕುಲು,O
ಕೋವಿಡ್,B-MED
ನಿಯಮಲೆನ್,B-POL
ಮದತ್ದ್,O
ಜನಕ್ಲೆನ್,B-COM
ಸೇರ್ಪಾದ್,O
ಬೇರ,O
ಮಲ್ಪುನ,O
ತೊಜಿದ್,O
ಬೈದುಂಡು,O
.,O
ಕುಡ್ಲದ,B-LOC
ವೆನ್ಲಾಕ್,B-ORG
ಆಸ್ಪತ್ರೆದ,I-ORG
ಕೋವಿಡ್,B-MED
ವಾರ್ಡ್ಗ್,I-MED
ದ.ಕ.,B-ROL
ಜಿಲ್ಲಾಧಿಕಾರಿ,I-ROL
ಡಾ.,B-PER
ರಾಜೇಂದ್ರ,I-PER
ಕೆವಿ,I-PER
ಗುರುವಾರ,B-DATE
ಭೇಟಿ,B-POL
ಕೊರ್ದು,O
ಕೋವಿಡ್,B-MED
ಸೋಂಕಿತೆರ್ನೊಟ್ಟಿಗೆ,I-MED
ಪಾತೆರ್ದ್,O
ಚಿಕಿತ್ಸೆ,B-MED
ಬೊಕ್ಕ,O
ಮೂಲ,B-POL
ಸೌಕರ್ಯದ,I-POL
ಬಗ್ಗೆ,O
ಮಾಹಿತಿ,B-POL
ಪಡೆದ್,O
ಯೋಗಕ್ಷೇಮ,O
ತೆರಿಯೊಂಡೆರ್,O
.,O
ಕುಡ್ಲ,B-LOC
ವಿಮಾನ,B-TRS
ನಿಲ್ದಾಣದ,I-TRS
ನಿರ್ವಹಣೆದ,B-POL
ಗುತ್ತಿಗೆ,O
ಪಡೆಯೊಂದಿನ,O
ಖಾಸಗಿ,B-ORG
ಕಂಪೆನಿ,I-ORG
ವಿಮಾನ,B-TRS
ನಿಲ್ದಾಣದ,I-TRS
ಗಾಡಿ,I-TRS
